Repo,MergeCommit,File,Diff3_Conflict,CSDiff_Conflict,CSDiff_Equals_Diff3,CSDiff_Equals_Manual
shellcheck,62a8ecf,src/ShellCheck/Checks/ShellSupport.hs,1,1,False,False
shellcheck,85066dd,src/ShellCheck/Checks/ShellSupport.hs,1,2,False,False
shellcheck,ea83b60,src/ShellCheck/Parser.hs,1,1,False,False
shellcheck,3fa5b7d,src/ShellCheck/AnalyzerLib.hs,2,1,False,False
shellcheck,3ef1175,src/ShellCheck/Analytics.hs,1,1,False,False
shellcheck,40aacc3,src/ShellCheck/Parser.hs,1,1,False,False
shellcheck,420d913,src/ShellCheck/Checks/ShellSupport.hs,1,1,False,False
shellcheck,932e2b3,src/ShellCheck/Checker.hs,1,2,False,False
shellcheck,46c10c1,src/ShellCheck/Analytics.hs,2,2,False,False
shellcheck,407f6a6,src/ShellCheck/Analytics.hs,1,1,False,False
shellcheck,79872f9,ShellCheck/Analytics.hs,2,2,False,False
shellcheck,726a4e5,ShellCheck/Analytics.hs,2,1,False,False
shellcheck,726a4e5,ShellCheck/Data.hs,1,1,False,False
cabal,6ba466c,cabal-install/src/Distribution/Client/VCS.hs,4,4,True,True
cabal,c7ed72d,cabal-install/src/Distribution/Client/VCS.hs,4,4,True,True
cabal,3d16e4b,cabal-install/src/Distribution/Client/VCS.hs,4,4,True,True
cabal,8ba636c,cabal-install/src/Distribution/Client/VCS.hs,4,4,True,True
cabal,b140dca,cabal-install/src/Distribution/Client/VCS.hs,4,4,True,True
cabal,e2d2d20,cabal-install/src/Distribution/Client/VCS.hs,4,4,True,True
cabal,f83f91e,cabal-install/src/Distribution/Client/VCS.hs,4,4,True,True
cabal,e8d73a2,cabal-install/src/Distribution/Client/VCS.hs,4,4,True,True
cabal,e6a20a3,cabal-install/src/Distribution/Client/VCS.hs,4,4,True,True
cabal,8cc49d9,cabal-install/src/Distribution/Client/VCS.hs,4,4,True,True
cabal,daa6ffa,cabal-install/src/Distribution/Client/VCS.hs,4,4,True,True
cabal,1f52963,cabal-install/src/Distribution/Client/VCS.hs,4,4,True,True
cabal,c3a9dd7,cabal-install/src/Distribution/Client/VCS.hs,4,4,True,True
cabal,24a128e,cabal-install/src/Distribution/Client/VCS.hs,4,4,True,True
cabal,efa04f7,cabal-install/src/Distribution/Client/VCS.hs,4,4,True,True
cabal,6828c0b,cabal-install/src/Distribution/Client/VCS.hs,4,4,True,True
cabal,26b27be,cabal-install/src/Distribution/Client/VCS.hs,4,4,True,True
cabal,8e150ad,cabal-install/src/Distribution/Client/VCS.hs,4,4,True,True
cabal,95436a3,cabal-install/src/Distribution/Client/VCS.hs,4,4,True,True
cabal,ec71d1f,cabal-install/src/Distribution/Client/VCS.hs,4,4,True,True
cabal,3c06125,cabal-install/src/Distribution/Client/VCS.hs,4,4,True,True
cabal,ae3c40a,cabal-install/src/Distribution/Client/VCS.hs,4,4,True,True
cabal,4d35045,cabal-install/src/Distribution/Client/VCS.hs,4,4,True,True
cabal,4a99076,cabal-install/src/Distribution/Client/VCS.hs,4,4,True,True
cabal,9985a2c,Cabal-syntax/src/Distribution/Compat/Prelude.hs,1,0,False,False
cabal,9985a2c,Cabal/src/Distribution/Backpack/Configure.hs,10,8,False,False
cabal,9985a2c,Cabal/src/Distribution/Backpack/ConfiguredComponent.hs,1,7,False,False
cabal,9985a2c,Cabal/src/Distribution/Backpack/LinkedComponent.hs,3,5,False,False
cabal,9985a2c,Cabal/src/Distribution/Backpack/PreExistingComponent.hs,2,2,False,False
cabal,9985a2c,Cabal/src/Distribution/PackageDescription/Check.hs,1,1,False,False
cabal,9985a2c,Cabal/src/Distribution/Simple/Configure.hs,14,17,False,False
cabal,9985a2c,Cabal/src/Distribution/Simple/GHC.hs,6,4,False,False
cabal,9985a2c,Cabal/src/Distribution/Simple/GHC/ImplInfo.hs,3,3,False,False
cabal,9985a2c,Cabal/src/Distribution/Simple/GHC/Internal.hs,8,9,False,False
cabal,9985a2c,Cabal/src/Distribution/Simple/GHCJS.hs,2,2,False,False
cabal,9985a2c,Cabal/src/Distribution/Simple/Setup/Config.hs,3,9,False,False
cabal,9985a2c,Cabal/src/Distribution/Simple/Setup/Repl.hs,2,0,False,False
cabal,9985a2c,Cabal/src/Distribution/Types/AnnotatedId.hs,3,2,False,False
cabal,9985a2c,Cabal/src/Distribution/Types/LocalBuildInfo.hs,1,1,False,False
cabal,9985a2c,cabal-install/src/Distribution/Client/CmdListBin.hs,4,6,False,False
cabal,9985a2c,cabal-install/src/Distribution/Client/CmdRepl.hs,29,43,False,False
cabal,9985a2c,cabal-install/src/Distribution/Client/CmdRun.hs,4,55,False,False
cabal,9985a2c,cabal-install/src/Distribution/Client/Config.hs,10,9,False,False
cabal,9985a2c,cabal-install/src/Distribution/Client/HashValue.hs,2,2,False,False
cabal,9985a2c,cabal-install/src/Distribution/Client/InstallPlan.hs,2,23,False,False
cabal,9985a2c,cabal-install/src/Distribution/Client/NixStyleOptions.hs,1,2,False,False
cabal,9985a2c,cabal-install/src/Distribution/Client/ProjectBuilding.hs,10,8,False,False
cabal,9985a2c,cabal-install/src/Distribution/Client/ProjectConfig.hs,1,1,False,False
cabal,9985a2c,cabal-install/src/Distribution/Client/ProjectConfig/Legacy.hs,11,8,False,False
cabal,9985a2c,cabal-install/src/Distribution/Client/ProjectConfig/Types.hs,1,1,False,False
cabal,9985a2c,cabal-install/src/Distribution/Client/ProjectOrchestration.hs,2,0,False,False
cabal,9985a2c,cabal-install/src/Distribution/Client/ProjectPlanOutput.hs,4,10,False,False
cabal,9985a2c,cabal-install/src/Distribution/Client/ProjectPlanning.hs,26,44,False,False
cabal,9985a2c,cabal-install/src/Distribution/Client/ProjectPlanning/Types.hs,14,17,False,False
cabal,9985a2c,cabal-install/src/Distribution/Client/ScriptUtils.hs,13,16,False,False
cabal,9985a2c,cabal-install/src/Distribution/Client/Setup.hs,7,7,False,False
cabal,9985a2c,cabal-install/src/Distribution/Client/VCS.hs,4,4,True,True
cabal,9985a2c,cabal-install/tests/UnitTests/Distribution/Client/ProjectConfig.hs,2,2,False,False
cabal,0eb638f,cabal-install/src/Distribution/Client/VCS.hs,4,4,True,True
cabal,53c5dc9,cabal-install/src/Distribution/Client/VCS.hs,4,4,True,True
cabal,8760e3d,cabal-install/src/Distribution/Client/VCS.hs,4,4,True,True
cabal,6956314,cabal-install/src/Distribution/Client/VCS.hs,4,4,True,True
cabal,c4a473f,cabal-install/src/Distribution/Client/VCS.hs,4,4,True,True
cabal,69dbf54,cabal-install/src/Distribution/Client/VCS.hs,4,4,True,True
cabal,0f041b6,cabal-install/src/Distribution/Client/VCS.hs,4,4,True,True
cabal,bf6e26a,cabal-install/src/Distribution/Client/VCS.hs,4,4,True,True
cabal,d05f7cd,cabal-install/src/Distribution/Client/VCS.hs,4,4,True,True
cabal,67e58ca,cabal-install/src/Distribution/Client/VCS.hs,4,4,True,True
cabal,b6789be,cabal-install/src/Distribution/Client/VCS.hs,4,4,True,True
cabal,8f5b2f0,cabal-install/src/Distribution/Client/VCS.hs,4,4,True,True
cabal,47ae4f4,cabal-install/src/Distribution/Client/VCS.hs,4,4,True,True
cabal,e826d22,cabal-install/src/Distribution/Client/VCS.hs,4,4,True,True
cabal,470253b,cabal-install/src/Distribution/Client/VCS.hs,4,4,True,True
cabal,40fac2c,cabal-install/src/Distribution/Client/VCS.hs,4,4,True,True
cabal,9957b0f,cabal-install-solver/src/Distribution/Solver/Modular/Preference.hs,4,7,False,False
cabal,a39d590,cabal-install/src/Distribution/Client/ProjectPlanning.hs,1,1,False,False
cabal,997930e,cabal-install/src/Distribution/Client/VCS.hs,4,4,True,True
cabal,619511b,cabal-install/src/Distribution/Client/VCS.hs,4,4,True,True
cabal,6118fd9,cabal-install/src/Distribution/Client/VCS.hs,4,4,True,True
cabal,2f3152c,cabal-install/Distribution/Client/VCS.hs,4,4,True,True
cabal,06c3eff,cabal-install/Distribution/Client/VCS.hs,4,4,True,True
cabal,c26cddb,cabal-install/Distribution/Client/VCS.hs,4,4,True,True
cabal,26702a3,cabal-install/Distribution/Client/VCS.hs,4,4,True,True
cabal,15bcd65,cabal-install/Distribution/Client/VCS.hs,4,4,True,True
cabal,79649a5,cabal-install/Distribution/Client/VCS.hs,4,4,True,True
cabal,d16c448,Cabal/Distribution/Simple/GHCJS.hs,2,1,False,False
cabal,798186e,cabal-install/Distribution/Client/Config.hs,1,1,False,False
